DATE,OPEN,HIGH,LOW,CLOSE,VOL
09/28 10:25,20720,20750,20720,20750,250734
09/28 10:20,20690,20720,20690,20720,60103
09/28 10:15,20690,20690,20680,20690,23291
09/28 10:10,20670,20690,20670,20690,60296
09/28 10:05,20650,20690,20650,20670,56671
09/28 10:00,20690,20700,20650,20650,68999
09/28 09:55,20720,20730,20680,20690,79968
09/28 09:50,20720,20740,20710,20720,65284
09/28 09:45,20680,20720,20680,20710,54063
09/28 09:40,20680,20700,20670,20680,55735
09/28 09:35,20690,20710,20670,20680,132160
09/28 09:30,20730,20730,20690,20700,130111
09/28 09:25,20730,20740,20720,20730,26978
09/28 09:20,20720,20750,20720,20730,108841
09/28 09:15,20750,20770,20710,20720,156058
09/28 09:10,20750,20770,20750,20760,135874
09/28 09:05,20780,20800,20740,20750,424325
09/25 15:01,20510,20510,20510,20510,54697
09/25 15:00,20490,20500,20480,20500,79213
09/25 14:55,20490,20500,20480,20490,44327
09/25 14:50,20510,20510,20470,20480,123148
09/25 14:45,20500,20520,20500,20510,120241
09/25 14:40,20500,20510,20500,20500,20789
09/25 14:35,20490,20500,20480,20490,33924
09/25 14:30,20510,20510,20480,20490,30726
09/25 14:25,20500,20510,20500,20510,24928
09/25 14:20,20490,20510,20490,20490,18997
09/25 14:15,20490,20520,20490,20490,71278
09/25 14:10,20520,20520,20490,20490,46910
09/25 14:05,20510,20520,20510,20520,34454
09/25 14:00,20500,20520,20490,20510,111523
09/25 13:55,20480,20510,20470,20500,80254
09/25 13:50,20460,20480,20450,20480,28556
09/25 13:45,20460,20480,20450,20460,19986
09/25 13:40,20470,20480,20460,20470,13762
09/25 13:35,20460,20490,20460,20480,112601
09/25 13:30,20470,20480,20460,20460,8668
09/25 13:25,20470,20480,20460,20470,40199
09/25 13:20,20460,20490,20460,20460,69052
09/25 13:15,20450,20470,20450,20460,21846
09/25 13:10,20460,20460,20440,20450,34050
09/25 13:05,20430,20460,20430,20460,60961
09/25 13:00,20420,20430,20400,20430,48459
09/25 12:55,20450,20450,20390,20420,169192
09/25 12:50,20470,20470,20450,20450,113333
09/25 12:45,20460,20470,20450,20470,63132
09/25 12:40,20500,20500,20460,20460,139866
09/25 12:35,20520,20530,20490,20500,128243
09/25 11:35,20510,20510,20510,20510,6388
09/25 11:30,20530,20540,20500,20500,72132
09/25 11:25,20550,20560,20520,20530,93027
09/25 11:20,20540,20550,20530,20550,26620
09/25 11:15,20550,20550,20530,20530,35043
09/25 11:10,20560,20560,20530,20550,134885
09/25 11:05,20560,20570,20550,20570,30492
09/25 11:00,20560,20570,20550,20560,56140
09/25 10:55,20560,20570,20550,20560,22534
09/25 10:50,20550,20570,20550,20550,71370
09/25 10:45,20550,20570,20550,20550,73592
09/25 10:40,20560,20570,20540,20550,174575
09/25 10:35,20580,20580,20550,20560,44274
09/25 10:30,20580,20610,20580,20580,200043
09/25 10:25,20550,20590,20540,20580,130865
09/25 10:20,20480,20580,20480,20560,383815
09/25 10:15,20490,20510,20480,20480,31004
09/25 10:10,20520,20520,20490,20500,33505
09/25 10:05,20510,20540,20500,20510,141507
09/25 10:00,20500,20510,20490,20500,93007
09/25 09:55,20460,20500,20460,20500,170814
09/25 09:50,20470,20470,20450,20460,28636
09/25 09:45,20460,20470,20460,20470,53349
09/25 09:40,20440,20470,20430,20460,54922
09/25 09:35,20450,20460,20430,20440,32341
09/25 09:30,20460,20470,20440,20450,55188
09/25 09:25,20480,20490,20440,20460,92660
09/25 09:20,20450,20490,20440,20480,105660
09/25 09:15,20460,20480,20430,20440,65579
09/25 09:10,20490,20490,20450,20460,98848
09/25 09:05,20500,20540,20460,20500,431048
09/24 15:01,20270,20270,20270,20270,86197
09/24 15:00,20270,20290,20260,20280,142482
09/24 14:55,20270,20280,20250,20270,60541
09/24 14:50,20240,20270,20220,20260,65633
09/24 14:45,20280,20290,20240,20240,45614
09/24 14:40,20280,20290,20260,20290,54880
09/24 14:35,20250,20290,20250,20280,80104
09/24 14:30,20240,20270,20230,20250,129884
09/24 14:25,20230,20260,20230,20230,54931
09/24 14:20,20240,20260,20210,20230,78459
09/24 14:15,20220,20250,20200,20240,138902
09/24 14:10,20240,20250,20190,20230,121735
09/24 14:05,20250,20250,20180,20230,269557
09/24 14:00,20260,20290,20240,20250,89224
09/24 13:55,20340,20340,20240,20250,273178
09/24 13:50,20360,20360,20330,20350,100570
09/24 13:45,20350,20350,20330,20350,63776
09/24 13:40,20350,20370,20340,20350,124354
09/24 13:35,20410,20410,20350,20350,166263
09/24 13:30,20410,20420,20400,20410,24403
09/24 13:25,20420,20430,20400,20410,103917
09/24 13:20,20430,20430,20420,20430,37667
09/24 13:15,20400,20430,20400,20430,42921
09/24 13:10,20390,20410,20390,20400,27330
09/24 13:05,20420,20420,20390,20390,90432
09/24 13:00,20410,20430,20410,20410,16734
09/24 12:55,20420,20430,20400,20420,85960
09/24 12:50,20420,20450,20420,20420,33064
09/24 12:45,20460,20460,20430,20430,94730
09/24 12:40,20450,20460,20450,20450,24414
09/24 12:35,20440,20460,20420,20460,170829
09/24 11:35,20500,20500,20500,20500,5767
09/24 11:30,20490,20500,20470,20490,56681
09/24 11:25,20500,20500,20470,20480,31098
09/24 11:20,20460,20530,20460,20500,95354
09/24 11:15,20480,20490,20450,20450,35156
09/24 11:10,20450,20490,20430,20480,117532
09/24 11:05,20440,20460,20420,20440,145659
09/24 11:00,20470,20470,20440,20440,91566
09/24 10:55,20480,20490,20470,20480,47129
09/24 10:50,20510,20510,20480,20480,169250
09/24 10:45,20500,20520,20490,20510,137194
09/24 10:40,20510,20540,20500,20510,213343
09/24 10:35,20480,20510,20470,20500,179433
09/24 10:30,20460,20490,20460,20480,157360
09/24 10:25,20440,20460,20430,20460,50296
09/24 10:20,20400,20450,20400,20440,100463
09/24 10:15,20440,20450,20400,20400,64558
09/24 10:10,20470,20470,20430,20440,128111
09/24 10:05,20420,20470,20400,20460,114368
09/24 10:00,20410,20420,20400,20420,108808
09/24 09:55,20420,20440,20400,20410,105137
09/24 09:50,20430,20440,20410,20420,66760
09/24 09:45,20410,20460,20410,20440,294288
09/24 09:40,20360,20420,20360,20420,157030
09/24 09:35,20370,20370,20340,20370,206510
09/24 09:30,20370,20390,20350,20380,145960
09/24 09:25,20360,20380,20340,20370,81750
09/24 09:20,20310,20370,20310,20360,144193
09/24 09:15,20390,20390,20280,20320,468336
09/24 09:10,20450,20450,20300,20390,694586
